n,m,density,prim_heap_time_ms,prim_matrix_time_ms,kruskal_time_ms,prim_heap_edges_considered,prim_matrix_key_updates,kruskal_edges_considered,kruskal_uf_ops
10,29,0.6444,0.054,0.051,0.040,58,23,21,126
20,137,0.7211,0.159,0.138,0.063,274,56,38,225
30,265,0.6092,0.351,0.337,0.079,530,93,35,209
50,798,0.6514,1.398,0.922,0.213,1596,165,116,705
75,1825,0.6577,3.411,2.082,0.419,3650,281,206,1268
100,3171,0.6406,6.073,3.697,0.630,6342,433,262,1599
150,7220,0.6461,14.904,8.309,1.284,14440,699,437,2683
200,12918,0.6491,29.667,18.521,2.335,25836,958,783,4788
250,20363,0.6542,45.649,23.078,3.660,40726,1217,1227,7525
300,29117,0.6492,65.696,39.036,4.550,58234,1450,1134,6896
350,39858,0.6526,95.172,59.305,6.914,79716,1699,1499,9100
