n,avg_time_s
1000,0.000473667400
2000,0.001019383800
4000,0.002127886399
6000,0.003227896000
8000,0.004187774601
10000,0.005781748000
12000,0.006703297800
15000,0.008329188600
18000,0.009492865999
20000,0.010428118399
30000,0.015450182196
40000,0.020957256199
60000,0.031203923201
80000,0.041567441801
100000,0.051979291000
120000,0.062411994998
150000,0.077918831998
180000,0.093494253400
200000,0.104125294799
300000,0.156282487200
400000,0.207990539599
600000,0.312585940601
800000,0.419830867599
1000000,0.518940207799
