n,bfs_avg_time_s,dfs_avg_time_s,faster,speedup_bfs_over_dfs
1200,0.000526333800,0.000906333600,BFS,1.721975
2500,0.001485007200,0.002177483400,BFS,1.466312
5000,0.004789385600,0.005402801400,BFS,1.128078
7500,0.006161932200,0.012582594600,BFS,2.041988
10000,0.009361211600,0.015678564200,BFS,1.674843
13000,0.013675458200,0.022513558400,BFS,1.646275
17000,0.020995073200,0.029710323400,BFS,1.415109
21000,0.025125853800,0.038675307800,BFS,1.539263
26000,0.032730248400,0.058028138600,BFS,1.772921
32000,0.041616073200,0.071634151000,BFS,1.721310
