n,avg_time_s
1000,0.000612645801
2000,0.001356484400
4000,0.002663296800
6000,0.004095742400
8000,0.005394969801
10000,0.006408596601
12000,0.007695321800
15000,0.009633847400
18000,0.011595616399
20000,0.012822626399
30000,0.019359523999
40000,0.026180024800
60000,0.039231344001
80000,0.053464233600
100000,0.066341141800
120000,0.079442036001
150000,0.099115293401
180000,0.118701331000
200000,0.152145831401
300000,0.201546563200
400000,0.267596447400
600000,0.400835419800
800000,0.528598321199
1000000,0.676670956000
